Origin Airport Code,Destination Airport Code,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Great Circle Distance,Timezone Difference,Continent Origin,Continent Destination,Route Popularity,Flight_Distance
ORG604,DST235,26.57545999,-122.3764336,-38.48905036,119.1819181,14202.0272,-12,North America,Australia,757,14166.22066
ORG392,DST792,57.84175526,-0.937270738,-30.52838183,135.7034809,15540.89722,-3,Europe,Australia,753,15559.1089
ORG480,DST881,-17.60825119,156.492679,-21.8722667,136.5043242,2143.198274,-11,Australia,Australia,45,2095.014108
ORG814,DST273,-20.94146776,151.5950721,-23.7658774,134.2302376,1811.938935,7,Australia,Australia,835,1781.494201
ORG832,DST956,23.42405332,-146.2857179,-11.67109751,159.5800874,7061.779441,0,North America,Australia,867,7020.03103
ORG595,DST813,54.09215251,-21.19142137,6.060294686,-79.18492572,7423.122747,-11,Europe,South America,536,7424.881784
ORG401,DST849,26.4466028,-12.83076693,-46.77285601,-59.39044575,9387.709734,1,Africa,South America,326,9428.478515
ORG340,DST813,27.03308781,-74.07452516,-14.29205192,23.91235035,11500.09869,-1,North America,Africa,154,11468.25423
ORG586,DST491,62.1112274,18.89408626,17.67862088,46.77940605,5395.454695,-7,Europe,Asia,186,5432.761625
ORG751,DST218,-43.994053,120.5320422,15.52221527,-94.67212429,15432.47697,-4,Australia,North America,460,15481.48309
ORG673,DST360,20.43072984,83.37435282,-38.43096298,145.6368137,9211.118812,3,Asia,Australia,886,9238.949964
ORG284,DST351,-10.31705858,37.14229914,1.619133802,-79.27545988,12928.65719,-10,Africa,South America,354,12915.88185
ORG379,DST424,-44.23894311,112.7468021,-26.79744811,43.86966897,6335.501922,4,Australia,Africa,707,6312.899155
ORG196,DST427,-47.66810715,-35.71291795,0.254317963,50.15936306,9719.531763,-10,South America,Asia,340,9669.953784
ORG738,DST593,10.85977588,117.2918997,69.75464044,6.362633135,9654.608356,9,Asia,Europe,457,9703.391721
ORG632,DST281,-52.16619808,-68.94398945,-29.32875399,151.5560597,10133.52277,12,South America,Australia,542,10118.89641
ORG624,DST752,32.8463899,-11.91481462,-10.02222819,-40.77602584,5664.079839,-6,Africa,South America,314,5658.689026
ORG338,DST315,-0.27059617,-70.09339551,-8.186965404,-72.32677575,914.3829967,5,South America,South America,364,875.6882457
ORG388,DST290,56.34595998,6.648489745,-5.765309894,-82.48586429,10487.65559,3,Europe,South America,222,10474.89004
ORG138,DST915,-12.3931628,133.9431417,1.741063364,-37.4156411,18495.39897,10,Australia,South America,858,18520.82895
ORG156,DST686,0.742745803,35.42096668,30.04273968,73.51956137,5176.681497,8,Africa,Asia,189,5193.415572
ORG305,DST537,-46.96949189,-52.55606876,65.49598258,24.79057703,14132.44837,8,South America,Europe,110,14091.69856
ORG847,DST299,-14.25991694,-77.19192516,53.83908093,-156.4779918,10598.06183,5,South America,North America,160,10591.50196
ORG125,DST156,29.19622235,8.736835886,-14.6910662,159.8356506,16640.34725,3,Africa,Australia,673,16667.96684
ORG826,DST337,-34.82441185,-38.18561036,37.89623147,-118.7236248,11579.7127,9,South America,North America,644,11544.68288
ORG303,DST657,-43.42229288,138.475512,-0.518501382,31.39040195,11336.94892,11,Australia,Africa,630,11360.88695
ORG579,DST533,14.65386042,-46.15126322,-18.95646491,112.5420919,17698.91295,-2,South America,Australia,683,17721.68078
ORG244,DST602,-13.63340441,113.3698855,20.65891315,-83.27816258,18083.16592,12,Australia,North America,166,18079.91035
ORG950,DST579,-47.77853142,-51.98336188,-18.50658659,-43.87969169,3336.863914,-10,South America,South America,394,3313.208516
ORG727,DST103,32.58808348,86.95424325,6.118981283,16.9083793,7774.879272,2,Asia,Africa,370,7758.925266
ORG395,DST957,64.70192139,27.3402676,20.16373987,28.31800965,4952.95033,6,Europe,Africa,688,4945.158449
ORG671,DST927,13.50969756,-59.14113035,-26.96873791,52.85329125,12842.91097,-9,South America,Africa,913,12845.58989
ORG460,DST604,3.513004561,50.07273465,-3.655948439,-42.19615215,10283.75925,8,Africa,South America,927,10298.60728
ORG379,DST546,20.19531234,17.44935503,-17.48277316,145.0073223,14510.31204,-1,Africa,Australia,154,14494.54694
ORG239,DST683,13.60187923,-58.9420187,34.96470045,-79.03614488,3115.355209,1,South America,North America,587,3144.875928
ORG808,DST255,11.17975922,19.93378054,49.47155952,20.6990402,4258.438495,6,Africa,Europe,971,4290.417337
ORG814,DST990,-47.71547384,-41.39186544,16.02944998,-138.8400142,11869.48825,10,South America,North America,475,11873.2757
ORG783,DST423,59.44833926,14.85662168,-20.41744025,152.5396835,14538.04055,-3,Europe,Australia,12,14528.81505
ORG439,DST342,-20.1214215,10.09270237,-26.46119404,18.68795811,1125.231062,12,Africa,Africa,373,1153.493298
ORG608,DST822,20.24009928,-53.4910654,-31.63671918,121.1301915,18639.03777,-10,North America,Australia,506,18654.38275
ORG824,DST949,52.57955551,-71.42772449,11.7205629,-52.24982718,4856.131064,-1,North America,South America,390,4813.846777
ORG545,DST801,55.6095649,9.086288419,-48.80812833,-82.58125964,14364.50461,-9,Europe,South America,772,14411.60999
ORG219,DST612,-27.98189975,133.7087661,-23.27665296,-0.915197285,12521.47565,-8,Australia,Africa,639,12524.95051
ORG188,DST943,-40.49342606,154.3806987,4.942389272,-83.16145321,13071.24337,-11,Australia,South America,643,13085.94308
ORG198,DST281,3.368538499,-5.463371506,34.99486456,32.523532,5258.833352,4,Africa,Africa,553,5303.089815
ORG129,DST527,9.049602386,143.4977728,29.06361426,-2.953051931,14457.05383,8,Asia,Africa,295,14483.60859
ORG901,DST686,-45.44605165,-49.46518142,23.56497147,-150.4333654,12679.72714,-10,South America,North America,814,12671.07407
ORG622,DST122,44.38481942,-112.3133479,39.97300846,10.70434596,9042.259625,5,North America,Europe,529,9027.565834
ORG909,DST797,-2.832594189,-49.3989602,-32.49734818,154.3771537,15356.29441,11,South America,Australia,517,15325.46685
ORG796,DST405,18.06403602,-107.9208333,-14.70276106,116.8339164,15237.11162,6,North America,Australia,150,15223.48717
ORG589,DST439,-6.685074126,-73.79073161,61.3065586,-66.77606024,7584.83316,-7,South America,North America,996,7596.435003
ORG817,DST609,-0.003972332,-61.58498042,22.44140954,48.04545535,12019.23637,0,South America,Africa,836,12037.97028
ORG874,DST410,60.43769334,-16.76918127,59.28799796,9.469277358,1460.593667,-11,Europe,Europe,694,1435.778635
ORG342,DST809,59.08831465,64.09319618,-29.32137158,126.8833437,11390.34405,5,Asia,Australia,910,11429.02567
ORG809,DST725,-47.9151052,-74.16415483,67.64194968,-124.1925381,13510.77901,-6,South America,North America,750,13540.19791
ORG152,DST384,3.934702977,-52.63836569,45.00710196,-155.3660745,10689.74363,-11,South America,North America,768,10718.24522
ORG379,DST131,47.02728269,-54.51162765,-44.67976322,126.5341146,19741.78628,9,North America,Australia,700,19730.20939
ORG223,DST910,51.60566515,30.04405421,69.19396954,25.62739925,1969.495599,-7,Europe,Europe,227,1983.637437
ORG127,DST789,20.70771633,1.728045966,-21.77250074,112.5697088,12911.71763,12,Africa,Australia,245,12897.26332
ORG400,DST946,44.38001367,-112.8333757,40.50380193,41.68418722,10238.91183,1,North America,Europe,947,10250.57773
ORG689,DST744,-8.811053907,-38.78115756,53.14386951,79.61561862,12660.28609,4,South America,Asia,734,12684.60423
ORG281,DST679,-35.07859039,-46.18665423,27.7776607,-62.24695452,7190.030636,3,South America,North America,76,7140.991364
ORG161,DST530,51.64839717,38.95121441,57.89855007,-56.15760458,5624.610831,-1,Europe,North America,971,5614.273175
ORG371,DST466,-31.83958334,-37.48492565,-19.76241674,-67.75947441,3299.917752,-7,South America,South America,821,3343.179278
ORG930,DST349,-1.372691578,-47.08520864,-15.59963923,-5.841722809,4789.802914,0,South America,Africa,929,4758.248891
ORG816,DST283,-47.45360914,-62.97529953,-20.65254987,159.3002013,11344.58213,7,South America,Australia,112,11363.04593
ORG591,DST707,40.05428733,11.42691047,47.8781558,53.46840932,3429.566934,-4,Europe,Asia,90,3414.491304
ORG178,DST974,-22.15385386,134.2642236,-19.08953405,157.1509769,2403.705419,2,Australia,Australia,254,2366.676258
ORG944,DST918,32.4773626,106.5630224,-18.60498335,157.5057738,7848.352685,-11,Asia,Australia,629,7892.432806
ORG281,DST193,33.86946819,21.89454618,-27.02167628,127.1685066,12967.41766,-11,Africa,Australia,477,12983.79546
ORG515,DST529,-22.11230536,-7.344382493,12.40350284,-43.87932829,5531.592518,-9,Africa,South America,932,5546.924743
ORG217,DST401,48.29398347,-78.9783012,-25.40945858,37.17687063,13990.55225,-10,North America,Africa,900,14011.34665
ORG480,DST781,-10.68084432,2.315859504,43.8152291,51.91741882,7856.618033,8,Africa,Asia,552,7827.597736
ORG608,DST220,60.09615929,40.7589242,-44.1392291,138.3571419,14523.91184,-8,Europe,Australia,331,14478.40693
ORG904,DST310,-37.47017741,-64.64693305,10.94203797,33.15169687,11428.63252,-1,South America,Africa,776,11402.11609
ORG864,DST395,-11.66756051,-37.97174329,-15.16520783,131.130824,16799.15599,-12,South America,Australia,168,16811.21668
ORG653,DST368,58.67193627,68.5003869,-29.86799364,127.01125,11224.70407,9,Asia,Australia,651,11234.25198
ORG311,DST478,35.22405698,9.143695731,3.123933953,-83.58473276,10054.66737,4,Europe,South America,14,10057.11549
ORG863,DST839,-15.31396289,-14.78827509,39.03903716,95.62159548,12822.46743,-7,Africa,Asia,958,12862.9158
ORG514,DST426,19.38668947,54.40621131,35.37994207,-15.59438239,6996.388568,5,Africa,Europe,433,7021.91496
ORG247,DST935,5.534053526,11.4334918,14.090325,-18.54139161,3415.039149,11,Africa,Africa,676,3450.329276
ORG725,DST808,-17.66575949,-45.1696238,19.71723423,-122.0209535,9358.740696,-12,South America,North America,494,9314.8726
ORG304,DST518,-3.314612064,53.16618118,47.68275221,21.37406356,6459.839349,12,Africa,Europe,579,6470.406944
ORG950,DST889,43.37500287,83.52787172,-40.10009306,158.5267388,11938.40218,-2,Asia,Australia,768,11950.99627
ORG380,DST642,0.524122758,22.64092831,52.64321006,20.87767568,5797.696767,0,Africa,Europe,336,5785.678055
ORG632,DST707,66.42212812,-20.71411943,54.4256753,-18.27330522,1340.400446,-7,Europe,Europe,566,1349.041346
ORG474,DST852,-32.53611184,-3.036467215,-33.86878017,150.3940485,12125.48615,10,Africa,Australia,55,12104.46857
ORG824,DST611,40.96810415,-117.8670369,24.02502932,41.45411955,12479.19741,6,North America,Asia,499,12526.73309
ORG322,DST748,26.83992962,45.20536817,12.78921867,87.64823654,4680.479204,-9,Africa,Asia,204,4716.265624
ORG582,DST862,-6.896225533,21.0137078,-26.6487517,45.65168816,3407.084532,8,Africa,Africa,200,3374.428083
ORG588,DST302,-44.36314635,-33.01918795,17.73591979,58.62974978,11503.0907,1,South America,Asia,776,11474.31972
ORG695,DST310,41.67988687,110.9432012,41.59563549,-5.930900093,8796.32549,-6,Asia,Europe,256,8755.112341
ORG100,DST580,39.79515337,-135.7222034,35.40899931,106.0367573,9532.270929,1,North America,Asia,394,9523.991191
ORG866,DST955,35.24500568,22.81479577,38.2892067,120.2412929,8234.509928,-2,Europe,Asia,918,8234.627317
ORG210,DST214,-8.413522638,-51.6360664,-26.65127326,-84.1511638,3979.536391,-5,South America,South America,926,3978.526994
ORG691,DST274,-24.19945894,115.3992286,25.78826377,119.3381557,5574.501492,-2,Australia,Asia,680,5543.362707
ORG346,DST771,47.38600108,-0.049630151,42.06516308,36.99722445,2956.696812,11,Europe,Europe,630,2990.960491
ORG969,DST138,35.60090828,-7.401736108,34.23327965,-115.5989124,9256.831909,5,Europe,North America,213,9289.666746
ORG983,DST710,-26.19690654,-52.82125083,9.384747705,99.90874488,16589.12096,-2,South America,Asia,223,16570.47578
ORG954,DST692,-44.53495428,122.7347028,43.32106696,93.7793925,10182.22397,8,Australia,Asia,295,10142.47996
ORG818,DST292,17.23193185,-96.99112035,30.0995416,-81.88399514,2096.77177,6,North America,North America,136,2078.758355
ORG412,DST924,56.84258825,36.52124932,-23.4656262,-6.269857411,9785.718031,-8,Europe,Africa,686,9811.045171
ORG115,DST586,26.14857168,148.3820729,34.35029514,39.30395252,9966.579094,-8,Asia,Africa,139,10006.87847
ORG205,DST238,2.435119901,1.135294186,-30.91478401,-17.71082462,4211.25664,-3,Africa,Africa,32,4191.623157
ORG767,DST874,64.52982909,-10.27577585,0.641554719,52.93190207,8699.055221,-7,Europe,Asia,186,8721.29683
ORG271,DST135,26.13380086,137.9507624,4.459454245,118.7973346,3156.562563,11,Asia,Asia,896,3158.437387
ORG605,DST933,54.16810188,138.2758637,35.19315039,-123.5880254,7388.896418,0,Asia,North America,535,7340.893417
ORG560,DST840,62.98647113,-51.64718885,-13.64284134,139.6968273,14456.25801,11,North America,Australia,826,14418.39769
ORG680,DST994,-37.68435736,142.7628064,-30.9261025,47.05141466,8420.00073,-3,Australia,Africa,804,8401.197544
ORG427,DST379,67.37306072,10.51899455,17.80175092,-137.1935488,10182.62042,-2,Europe,North America,625,10177.11889
ORG230,DST567,15.93285804,55.11190685,24.81849083,-100.640725,14776.35703,-1,Asia,North America,396,14794.8337
ORG552,DST905,5.40413335,90.58681116,-46.8605737,-83.54504993,15371.11739,-1,Asia,South America,302,15393.78031
ORG755,DST174,-39.59559155,-33.18961006,38.85765537,115.2833774,17312.17991,-7,South America,Asia,707,17355.43344
ORG377,DST301,11.39411909,-82.39786789,46.88071259,-67.89906545,4174.423718,-7,South America,North America,538,4206.174554
ORG592,DST267,21.40511101,-85.70963298,-34.88797092,5.2108944,11427.36326,6,North America,Africa,606,11475.8721
ORG824,DST629,5.385310879,19.46838214,56.7130248,-153.4420109,13079.98746,-2,Africa,North America,967,13056.69491
ORG367,DST359,-40.30114235,147.0539941,-26.61028101,-77.66646501,11256.5042,12,Australia,South America,919,11246.68133
ORG192,DST170,-40.91679912,117.2706073,35.62785617,114.4085235,8516.395826,5,Australia,Asia,35,8528.38342
ORG738,DST422,51.32658231,-151.1982222,-39.66147681,-52.60034532,13873.233,7,North America,South America,944,13885.91375
ORG422,DST592,-28.51595495,139.8722699,56.0663608,87.60968498,10619.34034,-7,Australia,Asia,12,10612.07985
ORG464,DST814,-27.6389261,-74.70413342,9.375309178,53.54521229,14241.22082,-12,South America,Africa,82,14288.09951
ORG218,DST185,67.98282817,6.348884096,-21.19017375,131.357532,13608.79667,-6,Europe,Australia,880,13628.41285
ORG442,DST396,-29.31255293,-84.35209608,-7.889656266,-47.84090579,4493.643028,-10,South America,South America,740,4513.219446
ORG675,DST554,-16.18301356,112.1154591,17.95748266,44.03890197,8363.627978,10,Australia,Africa,923,8409.589358
ORG989,DST153,68.81065559,22.51962547,23.97492869,-19.83343282,5723.122539,6,Europe,Africa,223,5678.216716
ORG282,DST984,67.69693999,18.35217063,34.11380248,-15.48143279,4308.885127,-8,Europe,Africa,144,4357.995477
ORG414,DST297,-33.50076066,-51.58770372,52.60001656,143.148999,17587.72441,8,South America,Asia,728,17600.2845
ORG574,DST279,54.16307698,49.72679138,35.87827025,-167.9781269,9370.72937,-3,Europe,North America,712,9352.505985
ORG981,DST787,4.283880931,-51.12208664,1.324318188,-40.41141337,1234.096047,-12,South America,South America,83,1232.422167
ORG708,DST389,8.538577212,-80.33509207,39.99513015,3.236209731,8852.825665,0,South America,Europe,710,8871.997667
ORG468,DST624,-41.74308058,155.2130257,16.36519352,-12.04929126,16941.68871,3,Australia,Africa,570,16903.31589
ORG106,DST240,53.83040719,12.35444951,-23.4074001,-79.12858558,12182.01736,-9,Europe,South America,350,12198.70465
ORG229,DST380,39.44095701,-22.71886683,28.64556998,-0.836775222,2337.0196,4,Europe,Africa,460,2334.645223
ORG611,DST380,-43.36910198,113.9889169,59.01067835,-69.30788734,18261.24531,2,Australia,North America,24,18306.82698
ORG622,DST430,19.36249818,-105.7578851,-40.11957068,134.7069456,13866.05712,-12,North America,Australia,426,13885.12126
ORG842,DST626,42.28337445,75.43520079,5.753185691,120.2431684,5989.542633,-10,Asia,Asia,414,5958.640402
ORG363,DST697,-44.59668488,-70.49801826,-12.16868696,-75.384002,3635.769697,9,South America,South America,687,3685.282855
ORG967,DST576,37.92955855,84.49144656,8.966153221,-53.99845781,13252.84399,-1,Asia,South America,447,13213.41531
ORG671,DST179,-31.64496341,6.833124179,-13.46282972,123.2434543,11591.78646,11,Africa,Australia,173,11558.55193
ORG146,DST111,36.75531415,1.288380182,3.275554305,40.47754296,5464.591473,2,Europe,Africa,151,5458.407705
ORG371,DST361,11.50468502,4.962266242,-18.63490377,144.7055857,15630.15364,-8,Africa,Australia,246,15604.51426
ORG815,DST511,47.1446003,-87.53348847,38.42551462,-2.997534565,6624.955945,-2,North America,Europe,300,6668.742551
ORG508,DST879,3.823328311,137.6478691,-31.04379087,-72.62223754,15633.66387,4,Asia,South America,251,15636.2608
ORG362,DST715,24.86080083,-102.2938427,-22.16919763,-3.503962059,11862.37565,-9,North America,Africa,376,11819.25783
ORG507,DST407,-41.14912764,-54.14310637,57.75375104,-6.472014868,11855.34337,-3,South America,Europe,864,11870.34003
ORG110,DST636,-36.89240379,118.3637205,14.61940154,-40.72439142,16787.73009,-1,Australia,South America,78,16826.74217
ORG147,DST482,45.38449276,36.68555637,67.39841025,-24.39286695,4228.557744,5,Europe,Europe,77,4264.416937
ORG935,DST256,24.36226684,-162.6793935,1.921458335,-61.16382432,11082.4837,3,North America,South America,298,11093.10033
ORG654,DST787,46.99551867,139.1614375,-11.16766669,-55.74105958,15792.39143,9,Asia,South America,90,15800.98784
ORG635,DST918,62.21572869,42.79068242,0.001443037,58.52064464,7042.988,-3,Europe,Asia,982,7020.521405
ORG174,DST671,-11.79686415,15.92921085,-40.2853934,-65.26240072,8420.491163,-3,Africa,South America,365,8413.20331
ORG905,DST474,68.64856836,-5.810906175,69.25105606,-100.724651,3412.968672,-10,Europe,North America,506,3365.091416
ORG786,DST556,43.19805103,7.828134674,19.24500777,131.3145805,10993.32528,-4,Europe,Asia,634,11013.5832
ORG949,DST579,-40.78640151,110.5373503,67.63653188,-17.42935323,15721.10338,5,Australia,Europe,747,15697.78044
ORG953,DST799,20.98292938,-6.734098071,21.90259521,67.40510299,7590.565477,5,Africa,Asia,243,7557.426665
ORG115,DST309,22.61560016,133.940695,-48.65299448,-77.1634951,16031.80078,7,Asia,South America,729,16060.42769
ORG882,DST812,-20.59266552,19.57312711,25.1947735,117.3705529,11713.93759,8,Africa,Asia,931,11711.59273
ORG112,DST465,-17.58475064,116.8808083,-22.04371138,127.0360955,1171.884741,-12,Australia,Australia,328,1172.559886
ORG998,DST728,65.9948566,-162.869766,17.11171394,139.7051561,6831.49543,1,North America,Asia,88,6822.462633
ORG135,DST311,-0.167495709,44.78260191,9.798584743,106.6778185,6935.559099,2,Africa,Asia,721,6888.069089
ORG669,DST917,59.20753147,-10.18900632,-24.02227235,142.2494749,15549.32089,-1,Europe,Australia,590,15560.51851
ORG118,DST164,17.2786996,-152.8436175,-28.4052425,139.9629776,8826.789583,8,North America,Australia,497,8855.205811
ORG851,DST669,-31.69438205,142.7712314,-17.72268811,141.953032,1555.760568,4,Australia,Australia,945,1574.026907
ORG286,DST769,8.601419728,-71.96022113,42.69312647,-122.3635853,6185.163034,9,South America,North America,247,6141.602002
ORG679,DST892,-34.78095077,143.1537063,11.25394692,29.1884092,12899.70417,0,Australia,Africa,969,12855.61887
ORG943,DST934,-2.486496688,-80.58783109,-7.925454938,-14.27898841,7360.891751,12,South America,Africa,77,7331.509787
ORG513,DST788,51.24221211,22.71779921,0.111971934,50.29098215,6247.985481,7,Europe,Asia,820,6256.541469
ORG943,DST681,-13.77882587,156.0203684,41.97502871,71.45011399,10587.9117,0,Australia,Asia,736,10561.02109
ORG351,DST857,-42.69362183,154.7432805,27.18261147,-156.2771136,9245.339043,-9,Australia,North America,49,9205.163066
ORG646,DST145,50.68749838,113.1176434,41.68214004,22.82729019,6582.225739,-5,Asia,Europe,835,6627.961949
ORG722,DST478,12.18678463,37.68526142,-5.415334088,-34.70235622,8235.863836,11,Africa,South America,253,8198.599749
ORG886,DST341,38.96757952,88.19695753,-37.25741295,134.6496947,9716.773633,-12,Asia,Australia,655,9688.484546
